Волинська,Дніпропетровська,Київська,Луганська,Миколаївська,Полтавська,Чернівецька,Київ,Севастополь,Україна
12.2,11.1,23.9,11.7,11.3,10.7,11.4,13.5,12.3,12.6
12.1,11.4,14.4,16.7,9.5,11.2,11.8,15.1,11.7,11.2
13.2,11.8,13.5,18.6,10,11.5,11.4,15.9,11.5,9.9
12.9,10.5,12.7,16.6,8.8,11.3,10.5,13.1,10.9,8.9
14.2,10.6,7.7,15.9,9.7,13,10.6,14.1,11,7.7
18.4,10.7,11.7,15.9,8,14.2,10.7,13,9.1,7.8
18,10.4,9.8,16.7,9.9,16.2,11.1,13.6,10.8,7.4
15.9,9.4,9.1,14.5,8.9,13.4,11,12.2,9.1,7.2
13.4,9.4,8.9,11.8,8.4,14,10.6,12.2,9.4,7
12.9,8.9,8.3,11.7,8.8,15.5,10.2,11.7,7.9,7.8
10.5,9.2,8.7,12.5,9.3,19.1,11.9,15.1,8.1,8.1
9.9,9.5,7.6,11.9,8.6,13.8,11.6,12.5,8.6,8.6
9.7,10,10.1,9.8,8.6,10.4,12.3,10.5,8.3,9.7
11,12.4,10.9,10.4,11,12.3,16.4,13.6,9.9,12.6
11.5,10.9,10,11.6,9.2,13.2,14.4,14.4,9.7,11.7
11.9,10.2,9.9,11.5,9.3,12.2,13.9,12.9,9.3,11.5
13.4,9.6,10.7,10.2,8.1,12.1,12.4,12,8.7,10.2
12.3,9.3,10.3,10.7,8.6,11.6,11.8,12.1,9.1,10
11.5,8.7,10.3,10.3,6.7,10.9,11.3,11,8.2,9.5
11.2,8.9,12.1,12,6.9,11.5,11.5,12,8.5,10
10.6,9,11,10.6,7.8,12.1,10.7,11.5,7.8,9.7
10.2,8.6,9.9,9.8,7.3,13.5,10.4,10.1,7.4,10.3
10.6,8.7,11,9.2,5.6,13.7,10.9,8.5,7.7,9.8
10.1,8.6,10,8.3,5.8,13.6,8.7,8.4,6.9,8.9
